Job_ID,Batch_Quantity,Arrival_Timestamp,S1_Wait_Min,S1_Service_Min,S2_Wait_Min,S2_Service_Min,S3_Wait_Min,S3_Service_Min,S4_Wait_Min,S4_Service_Min,Total_Wait_Min,Total_Service_Min,Total_Flow_Min,Scrap_Pct
1,8542,2026-03-01 08:00:00,5,89,12,74,8,91,3,18,28,272,300,1.42
2,3210,2026-03-01 08:24:00,3,35,7,28,4,38,2,12,16,113,129,2.15
3,6400,2026-03-01 08:51:00,8,67,14,58,11,72,5,22,38,219,257,0.88
4,9120,2026-03-01 09:18:00,11,96,16,81,14,103,6,24,47,304,351,3.10
5,4500,2026-03-01 09:35:00,4,48,9,40,6,51,2,15,21,154,175,1.75
6,2800,2026-03-01 09:52:00,2,29,5,25,3,32,1,11,11,97,108,1.20
7,7300,2026-03-01 10:15:00,9,75,11,63,9,80,4,19,33,237,270,2.45
8,5100,2026-03-01 10:38:00,6,53,10,45,7,58,3,16,26,172,198,0.95
9,3900,2026-03-01 11:02:00,4,41,8,34,5,44,2,14,19,133,152,1.80
10,8800,2026-03-01 11:29:00,10,91,15,77,13,98,5,23,43,289,332,2.90
11,6100,2026-03-01 11:55:00,7,63,11,53,8,69,4,17,30,202,232,1.35
12,4200,2026-03-01 12:18:00,5,44,8,37,6,47,2,13,21,141,162,2.05
13,7600,2026-03-01 12:45:00,8,79,13,67,10,84,4,20,35,250,285,1.15
14,2400,2026-03-01 13:10:00,2,25,4,21,3,27,1,10,10,83,93,0.70
15,9500,2026-03-01 13:36:00,12,100,18,85,15,108,7,25,52,318,370,3.30
16,3100,2026-03-01 14:02:00,3,33,6,27,4,36,2,12,15,108,123,1.10
17,5800,2026-03-01 14:28:00,7,60,11,51,8,65,4,16,30,192,222,1.90
18,8200,2026-03-01 14:55:00,10,86,14,72,12,93,5,21,41,272,313,2.60
19,4100,2026-03-01 15:20:00,4,43,8,36,5,46,2,13,19,138,157,1.25
20,6700,2026-03-01 15:45:00,8,70,12,59,9,75,4,18,33,222,255,2.10
21,2900,2026-03-01 16:10:00,2,30,5,26,3,33,1,11,11,100,111,0.85
22,9300,2026-03-01 16:35:00,11,98,17,83,14,105,6,24,48,310,358,3.20
23,5400,2026-03-01 17:00:00,6,56,10,47,7,61,3,15,26,179,205,1.50
24,3600,2026-03-01 17:25:00,3,38,7,32,4,41,2,13,16,124,140,1.05
25,7800,2026-03-01 17:50:00,9,81,13,68,10,87,4,20,36,256,292,2.35
26,4900,2026-03-02 08:00:00,5,51,9,43,6,55,3,15,23,164,187,1.40
27,2200,2026-03-02 08:22:00,2,23,4,19,3,25,1,10,10,77,87,0.65
28,8700,2026-03-02 08:48:00,10,90,15,76,13,97,5,22,43,285,328,2.80
29,6000,2026-03-02 09:12:00,7,62,11,52,8,68,4,17,30,199,229,1.70
30,4300,2026-03-02 09:35:00,4,45,8,38,6,48,2,14,20,145,165,1.15
31,7500,2026-03-02 10:00:00,8,78,13,66,10,83,4,19,35,246,281,2.20
32,3300,2026-03-02 10:25:00,3,35,6,29,4,37,2,12,15,113,128,0.95
33,9100,2026-03-02 10:50:00,11,95,16,80,14,102,6,23,47,300,347,3.05
34,5200,2026-03-02 11:15:00,6,54,10,46,7,59,3,16,26,175,201,1.60
35,2700,2026-03-02 11:38:00,2,28,5,24,3,31,1,11,11,94,105,0.80
36,8000,2026-03-02 12:02:00,9,83,14,70,11,89,5,21,39,263,302,2.50
37,4600,2026-03-02 12:28:00,5,48,9,40,6,52,3,15,23,155,178,1.30
38,6300,2026-03-02 12:52:00,7,66,12,55,9,71,4,18,32,210,242,1.85
39,3800,2026-03-02 13:16:00,4,40,7,33,5,43,2,13,18,129,147,1.00
40,8900,2026-03-02 13:40:00,10,93,15,78,13,100,5,23,43,294,337,2.95
41,5600,2026-03-02 14:05:00,6,58,11,49,8,63,3,16,28,186,214,1.65
42,2500,2026-03-02 14:28:00,2,26,4,22,3,28,1,10,10,86,96,0.75
43,7200,2026-03-02 14:52:00,8,75,12,63,9,80,4,19,33,237,270,2.15
44,4000,2026-03-02 15:15:00,4,42,8,35,5,45,2,13,19,135,154,1.10
45,9600,2026-03-02 15:40:00,12,101,18,86,15,109,7,25,52,321,373,3.35
46,3000,2026-03-02 16:05:00,3,31,5,26,4,34,1,11,13,102,115,0.90
47,6500,2026-03-02 16:30:00,8,68,12,57,9,73,4,18,33,216,249,1.95
48,4800,2026-03-02 16:55:00,5,50,9,42,6,54,3,15,23,161,184,1.35
49,8400,2026-03-02 17:20:00,10,88,14,74,12,95,5,22,41,279,320,2.70
50,2100,2026-03-02 17:45:00,2,22,4,18,2,24,1,10,9,74,83,0.60
51,7000,2026-03-03 08:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05
52,3500,2026-03-03 08:24:00,3,37,7,31,4,40,2,13,16,121,137,1.00
53,9000,2026-03-03 08:49:00,11,94,16,79,14,101,6,23,47,297,344,3.00
54,5300,2026-03-03 09:14:00,6,55,10,46,7,60,3,16,26,177,203,1.55
55,2600,2026-03-03 09:38:00,2,27,4,23,3,30,1,11,10,91,101,0.80
56,8100,2026-03-03 10:02:00,9,85,14,71,11,91,5,21,39,268,307,2.55
57,4400,2026-03-03 10:26:00,4,46,8,39,6,49,2,14,20,148,168,1.20
58,6200,2026-03-03 10:50:00,7,65,11,54,9,70,4,17,31,206,237,1.80
59,3700,2026-03-03 11:15:00,4,39,7,32,5,42,2,13,18,126,144,1.05
60,8600,2026-03-03 11:39:00,10,90,15,75,12,96,5,22,42,283,325,2.75
61,5000,2026-03-03 12:02:00,5,52,9,44,6,56,3,15,23,167,190,1.45
62,2300,2026-03-03 12:25:00,2,24,4,20,3,26,1,10,10,80,90,0.70
63,7700,2026-03-03 12:49:00,9,80,13,67,10,86,4,20,36,253,289,2.30
64,4150,2026-03-03 13:14:00,4,43,8,36,5,46,2,13,19,138,157,1.15
65,9400,2026-03-03 13:38:00,12,99,17,84,15,106,6,24,50,313,363,3.25
66,2950,2026-03-03 14:02:00,3,31,5,26,3,33,1,11,12,101,113,0.85
67,6600,2026-03-03 14:26:00,8,69,12,58,9,74,4,18,33,219,252,2.00
68,4700,2026-03-03 14:50:00,5,49,9,41,6,53,3,15,23,158,181,1.30
69,8300,2026-03-03 15:15:00,10,87,14,73,12,94,5,21,41,275,316,2.65
70,2250,2026-03-03 15:40:00,2,23,4,19,3,25,1,10,10,77,87,0.65
71,7100,2026-03-03 16:04:00,8,74,12,62,9,79,4,19,33,234,267,2.10
72,3400,2026-03-03 16:28:00,3,36,6,30,4,38,2,12,15,116,131,0.95
73,9200,2026-03-03 16:52:00,11,97,17,82,14,104,6,24,48,307,355,3.15
74,5500,2026-03-03 17:16:00,6,57,10,48,7,62,3,16,26,183,209,1.65
75,2850,2026-03-03 17:40:00,2,29,5,25,3,32,1,11,11,97,108,0.85
76,7900,2026-03-04 08:00:00,9,82,13,69,11,88,5,21,38,260,298,2.40
77,4550,2026-03-04 08:24:00,5,47,9,40,6,51,2,14,22,152,174,1.25
78,6400,2026-03-04 08:48:00,7,67,12,56,9,72,4,18,32,213,245,1.90
79,3750,2026-03-04 09:12:00,4,39,7,33,5,42,2,13,18,127,145,1.00
80,8750,2026-03-04 09:36:00,10,91,15,77,13,98,5,23,43,289,332,2.85
81,5150,2026-03-04 10:00:00,6,54,10,45,7,58,3,16,26,173,199,1.50
82,2350,2026-03-04 10:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
83,7650,2026-03-04 10:48:00,9,80,13,67,10,85,4,20,36,252,288,2.30
84,4050,2026-03-04 11:12:00,4,42,8,35,5,45,2,13,19,135,154,1.10
85,9550,2026-03-04 11:36:00,12,100,18,85,15,108,7,25,52,318,370,3.30
86,3050,2026-03-04 12:00:00,3,32,5,27,3,34,1,11,12,104,116,0.90
87,6550,2026-03-04 12:24:00,8,68,12,57,9,73,4,18,33,216,249,1.95
88,4850,2026-03-04 12:48:00,5,51,9,42,6,54,3,15,23,162,185,1.35
89,8350,2026-03-04 13:12:00,10,87,14,73,12,94,5,21,41,275,316,2.65
90,2150,2026-03-04 13:36:00,2,22,4,18,2,24,1,10,9,74,83,0.60
91,7050,2026-03-04 14:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05
92,3450,2026-03-04 14:24:00,3,36,6,30,4,38,2,12,15,116,131,0.95
93,9150,2026-03-04 14:48:00,11,96,16,80,14,102,6,23,47,301,348,3.10
94,5250,2026-03-04 15:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
95,2650,2026-03-04 15:36:00,2,27,4,23,3,30,1,11,10,91,101,0.80
96,8050,2026-03-04 16:00:00,9,84,14,70,11,90,5,21,39,265,304,2.50
97,4450,2026-03-04 16:24:00,4,46,8,39,6,50,2,14,20,149,169,1.20
98,6250,2026-03-04 16:48:00,7,65,11,55,9,70,4,17,31,207,238,1.80
99,3650,2026-03-04 17:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
100,8550,2026-03-04 17:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
101,4950,2026-03-05 08:00:00,5,51,9,43,6,55,3,15,23,164,187,1.40
102,2380,2026-03-05 08:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
103,8820,2026-03-05 08:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85
104,6050,2026-03-05 09:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75
105,4250,2026-03-05 09:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
106,7550,2026-03-05 10:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25
107,3250,2026-03-05 10:24:00,3,34,6,28,4,36,2,12,15,110,125,0.90
108,9180,2026-03-05 10:48:00,11,96,16,81,14,103,6,24,47,304,351,3.10
109,5280,2026-03-05 11:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
110,2680,2026-03-05 11:36:00,2,28,4,23,3,30,1,11,10,92,102,0.80
111,8080,2026-03-05 12:00:00,9,84,14,71,11,90,5,21,39,266,305,2.50
112,4480,2026-03-05 12:24:00,4,47,8,39,6,50,2,14,20,150,170,1.20
113,6280,2026-03-05 12:48:00,7,65,11,55,9,70,4,17,31,207,238,1.80
114,3680,2026-03-05 13:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
115,8580,2026-03-05 13:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
116,4980,2026-03-05 14:00:00,5,52,9,43,6,55,3,15,23,165,188,1.40
117,2410,2026-03-05 14:24:00,2,25,4,21,3,27,1,10,10,83,93,0.70
118,8850,2026-03-05 14:48:00,10,92,15,77,13,99,5,23,43,291,334,2.85
119,6080,2026-03-05 15:12:00,7,63,11,53,8,68,4,17,30,201,231,1.75
120,4280,2026-03-05 15:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
121,7580,2026-03-05 16:00:00,8,79,13,66,10,84,4,20,35,249,284,2.25
122,3280,2026-03-05 16:24:00,3,34,6,28,4,36,2,12,15,110,125,0.90
123,9210,2026-03-05 16:48:00,11,96,16,81,14,103,6,24,47,304,351,3.10
124,5310,2026-03-05 17:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
125,2710,2026-03-05 17:36:00,2,28,4,23,3,30,1,11,10,92,102,0.80
126,8110,2026-03-06 08:00:00,9,84,14,71,11,90,5,21,39,266,305,2.50
127,4510,2026-03-06 08:24:00,5,47,9,40,6,51,2,14,22,152,174,1.25
128,6310,2026-03-06 08:48:00,7,66,12,55,9,71,4,18,32,210,242,1.85
129,3710,2026-03-06 09:12:00,4,39,7,32,5,42,2,13,18,126,144,1.05
130,8610,2026-03-06 09:36:00,10,90,15,75,12,96,5,22,42,283,325,2.75
131,5010,2026-03-06 10:00:00,5,52,9,44,6,56,3,15,23,167,190,1.45
132,2310,2026-03-06 10:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
133,7710,2026-03-06 10:48:00,9,80,13,67,10,86,4,20,36,253,289,2.30
134,4110,2026-03-06 11:12:00,4,43,8,36,5,46,2,13,19,138,157,1.15
135,9410,2026-03-06 11:36:00,12,99,17,84,15,106,6,24,50,313,363,3.25
136,2910,2026-03-06 12:00:00,3,31,5,26,3,33,1,11,12,101,113,0.85
137,6510,2026-03-06 12:24:00,8,68,12,57,9,73,4,18,33,216,249,1.95
138,4810,2026-03-06 12:48:00,5,50,9,42,6,54,3,15,23,161,184,1.35
139,8310,2026-03-06 13:12:00,10,87,14,73,12,94,5,21,41,275,316,2.65
140,2210,2026-03-06 13:36:00,2,23,4,19,3,25,1,10,10,77,87,0.65
141,7060,2026-03-06 14:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05
142,3410,2026-03-06 14:24:00,3,36,6,30,4,38,2,12,15,116,131,0.95
143,9110,2026-03-06 14:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05
144,5210,2026-03-06 15:12:00,6,54,10,46,7,59,3,16,26,175,201,1.60
145,2610,2026-03-06 15:36:00,2,27,4,23,3,30,1,11,10,91,101,0.80
146,8010,2026-03-06 16:00:00,9,83,14,70,11,89,5,21,39,263,302,2.50
147,4410,2026-03-06 16:24:00,4,46,8,39,6,49,2,14,20,148,168,1.20
148,6210,2026-03-06 16:48:00,7,65,11,54,9,70,4,17,31,206,237,1.80
149,3610,2026-03-06 17:12:00,3,38,7,32,4,41,2,13,16,124,140,1.05
150,8510,2026-03-06 17:36:00,10,89,15,75,12,96,5,22,42,282,324,2.75
151,4910,2026-03-09 08:00:00,5,51,9,43,6,55,3,15,23,164,187,1.40
152,2340,2026-03-09 08:24:00,2,24,4,20,3,26,1,10,10,80,90,0.70
153,8780,2026-03-09 08:48:00,10,91,15,77,13,98,5,23,43,289,332,2.85
154,6010,2026-03-09 09:12:00,7,62,11,52,8,68,4,17,30,199,229,1.70
155,4210,2026-03-09 09:36:00,4,44,8,37,6,47,2,13,20,141,161,1.15
156,7510,2026-03-09 10:00:00,8,78,13,66,10,83,4,19,35,246,281,2.20
157,3210,2026-03-09 10:24:00,3,33,6,27,4,36,2,12,15,108,123,0.90
158,9140,2026-03-09 10:48:00,11,95,16,80,14,102,6,23,47,300,347,3.05
159,5240,2026-03-09 11:12:00,6,55,10,46,7,59,3,16,26,176,202,1.60
160,2640,2026-03-09 11:36:00,2,27,4,23,3,30,1,11,10,91,101,0.80
161,8040,2026-03-09 12:00:00,9,84,14,70,11,90,5,21,39,265,304,2.50
162,4440,2026-03-09 12:24:00,4,46,8,39,6,50,2,14,20,149,169,1.20
