,count,mean,std,min,25%,50%,75%,max,CV
Batch_Quantity,350.0,5663.291428571429,2273.810172359672,2100.0,3680.0,5255.0,8000.0,9600.0,0.40149976405739074
Inter_Arrival_Min,350.0,71.65714285714286,314.85939399370426,17.0,24.0,24.0,24.0,3744.0,4.393970809322029
S1_Wait_Min,350.0,6.154285714285714,3.0354489060763186,2.0,3.0,6.0,9.0,12.0,0.4932252168647686
S1_Service_Min,350.0,58.97142857142857,23.73611578998853,22.0,38.0,55.0,83.0,101.0,0.4025019634930226
S2_Wait_Min,350.0,10.08,3.9181306577247863,4.0,7.0,10.0,14.0,18.0,0.38870343826634784
S2_Service_Min,350.0,49.52571428571429,20.05374359090651,18.0,32.0,46.0,70.0,86.0,0.4049157872861012
S3_Wait_Min,350.0,7.694285714285714,3.618754305856694,2.0,4.0,7.0,11.0,15.0,0.4703171210730943
S3_Service_Min,350.0,63.385714285714286,25.40823866180438,24.0,41.0,59.0,89.0,109.0,0.4008511846577206
S4_Wait_Min,350.0,3.2514285714285713,1.589610146394217,1.0,2.0,3.0,5.0,7.0,0.48889591497185936
S4_Service_Min,350.0,16.434285714285714,4.39457485660245,10.0,13.0,16.0,21.0,25.0,0.26740285114931456
Total_Wait_Min,350.0,27.18,12.096514925896447,9.0,16.0,26.0,38.75,52.0,0.4450520576120841
Total_Service_Min,350.0,188.31714285714287,73.56290404417295,74.0,124.0,176.0,263.0,321.0,0.39063307210420917
Total_Flow_Min,350.0,215.49714285714285,85.59971308401386,83.0,140.0,202.0,301.5,373.0,0.3972197122852786
Scrap_Pct,350.0,1.7185714285714286,0.783223238301281,0.6,1.05,1.6,2.4875,3.35,0.45574087016699644
