,Batch_Quantity,Inter_Arrival_Min,Total_Wait_Min,Total_Service_Min,Total_Flow_Min,Scrap_Pct,S1_Wait_Min,S2_Wait_Min,S3_Wait_Min,S4_Wait_Min,S1_Service_Min,S2_Service_Min,S3_Service_Min,S4_Service_Min
Batch_Quantity,1.0,0.011603910384742578,0.8750896625074172,0.8864236410917573,0.8854402624194391,0.8581943552970684,0.8753783805105304,0.8730220128737608,0.8664011286520663,0.863395148294864,0.886569853509223,0.8857737071797198,0.8869464417350766,0.8795724283344655
Inter_Arrival_Min,0.011603910384742578,1.0,0.047024981590736,0.05541468301442024,0.0542677449908174,0.04611584646904164,0.045256937657876826,0.0523254511454592,0.035220399045632254,0.06227397642638788,0.055570996180659644,0.056084694270390555,0.05485772749597484,0.05435772655579149
Total_Wait_Min,0.8750896625074172,0.047024981590736,1.0,0.9942545802942695,0.9957599872782933,0.9754150083964578,0.9960650521468323,0.9956986940410832,0.9951577562903728,0.9879789468993775,0.9933978915043485,0.9938143261901339,0.9943518934827142,0.9935930441636692
Total_Service_Min,0.8864236410917573,0.05541468301442024,0.9942545802942695,1.0,0.9998855875934909,0.9747217187891724,0.9903044056733595,0.9922078722061561,0.9893657352486331,0.9770479585104039,0.999895150806299,0.999894710658643,0.9999278750061129,0.9946897871180649
Total_Flow_Min,0.8854402624194391,0.0542677449908174,0.9957599872782933,0.9998855875934909,1.0,0.9754995603211296,0.9918092091757754,0.9933932433357491,0.9908743177214704,0.9792741619802291,0.999674419129741,0.9997328893006345,0.9998373564322032,0.995228598124678
Scrap_Pct,0.8581943552970684,0.04611584646904164,0.9754150083964578,0.9747217187891724,0.9754995603211296,1.0,0.9753684922155563,0.9655359143877523,0.9759990961105349,0.9583759828726627,0.9739955431571466,0.9738149120580025,0.9750634192943423,0.9742036028987459
S1_Wait_Min,0.8753783805105304,0.045256937657876826,0.9960650521468323,0.9903044056733595,0.9918092091757754,0.9753684922155563,1.0,0.9881764661777251,0.9895406004980556,0.9818495759331689,0.9894284419210764,0.9896557819256104,0.9908013938561381,0.9884137765133466
S2_Wait_Min,0.8730220128737608,0.0523254511454592,0.9956986940410832,0.9922078722061561,0.9933932433357491,0.9655359143877523,0.9881764661777251,1.0,0.9856873463235089,0.9812682423868605,0.9916006928888452,0.992022386343431,0.9920928108222378,0.9902778514266537
S3_Wait_Min,0.8664011286520663,0.035220399045632254,0.9951577562903728,0.9893657352486331,0.9908743177214704,0.9759990961105349,0.9895406004980556,0.9856873463235089,1.0,0.9772425059022727,0.9884088771083762,0.9890420797127126,0.9893128274914531,0.9896148170041851
S4_Wait_Min,0.863395148294864,0.06227397642638788,0.9879789468993775,0.9770479585104039,0.9792741619802291,0.9583759828726627,0.9818495759331689,0.9812682423868605,0.9772425059022727,1.0,0.9758763736965611,0.9761303194338827,0.9772435120625923,0.9798142559315021
S1_Service_Min,0.886569853509223,0.055570996180659644,0.9933978915043485,0.999895150806299,0.999674419129741,0.9739955431571466,0.9894284419210764,0.9916006928888452,0.9884088771083762,0.9758763736965611,1.0,0.9998131638249556,0.9997882777524411,0.9935475869485306
S2_Service_Min,0.8857737071797198,0.056084694270390555,0.9938143261901339,0.999894710658643,0.9997328893006345,0.9738149120580025,0.9896557819256104,0.992022386343431,0.9890420797127126,0.9761303194338827,0.9998131638249556,1.0,0.9997523014986361,0.9939047807820557
S3_Service_Min,0.8869464417350766,0.05485772749597484,0.9943518934827142,0.9999278750061129,0.9998373564322032,0.9750634192943423,0.9908013938561381,0.9920928108222378,0.9893128274914531,0.9772435120625923,0.9997882777524411,0.9997523014986361,1.0,0.994292546165616
S4_Service_Min,0.8795724283344655,0.05435772655579149,0.9935930441636692,0.9946897871180649,0.995228598124678,0.9742036028987459,0.9884137765133466,0.9902778514266537,0.9896148170041851,0.9798142559315021,0.9935475869485306,0.9939047807820557,0.994292546165616,1.0
