Job_ID,Batch_Quantity,Arrival_Timestamp,S1_Wait_Min,S1_Service_Min,S2_Wait_Min,S2_Service_Min,S3_Wait_Min,S3_Service_Min,S4_Wait_Min,S4_Service_Min,Total_Wait_Min,Total_Service_Min,Total_Flow_Min,Scrap_Pct,Inter_Arrival_Min,Calculated_Wait_Min,Calculated_Service_Min,Calculated_Flow_Min,Wait_Error,Service_Error,Flow_Error,Batch_Group,Arrival_Hour
1,8542,2026-03-01 08:00:00,5,89,12,74,8,91,3,18,28,272,300,1.42,0.0,28,272,300,0,0,0,"(8000.0, 9600.0]",2026-03-01 08:00:00
2,3210,2026-03-01 08:24:00,3,35,7,28,4,38,2,12,16,113,129,2.15,24.0,16,113,129,0,0,0,"(2099.999, 3680.0]",2026-03-01 08:00:00
3,6400,2026-03-01 08:51:00,8,67,14,58,11,72,5,22,38,219,257,0.88,27.0,38,219,257,0,0,0,"(5255.0, 8000.0]",2026-03-01 08:00:00
4,9120,2026-03-01 09:18:00,11,96,16,81,14,103,6,24,47,304,351,3.1,27.0,47,304,351,0,0,0,"(8000.0, 9600.0]",2026-03-01 09:00:00
5,4500,2026-03-01 09:35:00,4,48,9,40,6,51,2,15,21,154,175,1.75,17.0,21,154,175,0,0,0,"(3680.0, 5255.0]",2026-03-01 09:00:00
6,2800,2026-03-01 09:52:00,2,29,5,25,3,32,1,11,11,97,108,1.2,17.0,11,97,108,0,0,0,"(2099.999, 3680.0]",2026-03-01 09:00:00
7,7300,2026-03-01 10:15:00,9,75,11,63,9,80,4,19,33,237,270,2.45,23.0,33,237,270,0,0,0,"(5255.0, 8000.0]",2026-03-01 10:00:00
8,5100,2026-03-01 10:38:00,6,53,10,45,7,58,3,16,26,172,198,0.95,23.0,26,172,198,0,0,0,"(3680.0, 5255.0]",2026-03-01 10:00:00
9,3900,2026-03-01 11:02:00,4,41,8,34,5,44,2,14,19,133,152,1.8,24.0,19,133,152,0,0,0,"(3680.0, 5255.0]",2026-03-01 11:00:00
10,8800,2026-03-01 11:29:00,10,91,15,77,13,98,5,23,43,289,332,2.9,27.0,43,289,332,0,0,0,"(8000.0, 9600.0]",2026-03-01 11:00:00
11,6100,2026-03-01 11:55:00,7,63,11,53,8,69,4,17,30,202,232,1.35,26.0,30,202,232,0,0,0,"(5255.0, 8000.0]",2026-03-01 11:00:00
12,4200,2026-03-01 12:18:00,5,44,8,37,6,47,2,13,21,141,162,2.05,23.0,21,141,162,0,0,0,"(3680.0, 5255.0]",2026-03-01 12:00:00
13,7600,2026-03-01 12:45:00,8,79,13,67,10,84,4,20,35,250,285,1.15,27.0,35,250,285,0,0,0,"(5255.0, 8000.0]",2026-03-01 12:00:00
14,2400,2026-03-01 13:10:00,2,25,4,21,3,27,1,10,10,83,93,0.7,25.0,10,83,93,0,0,0,"(2099.999, 3680.0]",2026-03-01 13:00:00
15,9500,2026-03-01 13:36:00,12,100,18,85,15,108,7,25,52,318,370,3.3,26.0,52,318,370,0,0,0,"(8000.0, 9600.0]",2026-03-01 13:00:00
16,3100,2026-03-01 14:02:00,3,33,6,27,4,36,2,12,15,108,123,1.1,26.0,15,108,123,0,0,0,"(2099.999, 3680.0]",2026-03-01 14:00:00
17,5800,2026-03-01 14:28:00,7,60,11,51,8,65,4,16,30,192,222,1.9,26.0,30,192,222,0,0,0,"(5255.0, 8000.0]",2026-03-01 14:00:00
18,8200,2026-03-01 14:55:00,10,86,14,72,12,93,5,21,41,272,313,2.6,27.0,41,272,313,0,0,0,"(8000.0, 9600.0]",2026-03-01 14:00:00
19,4100,2026-03-01 15:20:00,4,43,8,36,5,46,2,13,19,138,157,1.25,25.0,19,138,157,0,0,0,"(3680.0, 5255.0]",2026-03-01 15:00:00
20,6700,2026-03-01 15:45:00,8,70,12,59,9,75,4,18,33,222,255,2.1,25.0,33,222,255,0,0,0,"(5255.0, 8000.0]",2026-03-01 15:00:00
21,2900,2026-03-01 16:10:00,2,30,5,26,3,33,1,11,11,100,111,0.85,25.0,11,100,111,0,0,0,"(2099.999, 3680.0]",2026-03-01 16:00:00
22,9300,2026-03-01 16:35:00,11,98,17,83,14,105,6,24,48,310,358,3.2,25.0,48,310,358,0,0,0,"(8000.0, 9600.0]",2026-03-01 16:00:00
23,5400,2026-03-01 17:00:00,6,56,10,47,7,61,3,15,26,179,205,1.5,25.0,26,179,205,0,0,0,"(5255.0, 8000.0]",2026-03-01 17:00:00
24,3600,2026-03-01 17:25:00,3,38,7,32,4,41,2,13,16,124,140,1.05,25.0,16,124,140,0,0,0,"(2099.999, 3680.0]",2026-03-01 17:00:00
25,7800,2026-03-01 17:50:00,9,81,13,68,10,87,4,20,36,256,292,2.35,25.0,36,256,292,0,0,0,"(5255.0, 8000.0]",2026-03-01 17:00:00
26,4900,2026-03-02 08:00:00,5,51,9,43,6,55,3,15,23,164,187,1.4,850.0,23,164,187,0,0,0,"(3680.0, 5255.0]",2026-03-02 08:00:00
27,2200,2026-03-02 08:22:00,2,23,4,19,3,25,1,10,10,77,87,0.65,22.0,10,77,87,0,0,0,"(2099.999, 3680.0]",2026-03-02 08:00:00
28,8700,2026-03-02 08:48:00,10,90,15,76,13,97,5,22,43,285,328,2.8,26.0,43,285,328,0,0,0,"(8000.0, 9600.0]",2026-03-02 08:00:00
29,6000,2026-03-02 09:12:00,7,62,11,52,8,68,4,17,30,199,229,1.7,24.0,30,199,229,0,0,0,"(5255.0, 8000.0]",2026-03-02 09:00:00
30,4300,2026-03-02 09:35:00,4,45,8,38,6,48,2,14,20,145,165,1.15,23.0,20,145,165,0,0,0,"(3680.0, 5255.0]",2026-03-02 09:00:00
31,7500,2026-03-02 10:00:00,8,78,13,66,10,83,4,19,35,246,281,2.2,25.0,35,246,281,0,0,0,"(5255.0, 8000.0]",2026-03-02 10:00:00
32,3300,2026-03-02 10:25:00,3,35,6,29,4,37,2,12,15,113,128,0.95,25.0,15,113,128,0,0,0,"(2099.999, 3680.0]",2026-03-02 10:00:00
33,9100,2026-03-02 10:50:00,11,95,16,80,14,102,6,23,47,300,347,3.05,25.0,47,300,347,0,0,0,"(8000.0, 9600.0]",2026-03-02 10:00:00
34,5200,2026-03-02 11:15:00,6,54,10,46,7,59,3,16,26,175,201,1.6,25.0,26,175,201,0,0,0,"(3680.0, 5255.0]",2026-03-02 11:00:00
35,2700,2026-03-02 11:38:00,2,28,5,24,3,31,1,11,11,94,105,0.8,23.0,11,94,105,0,0,0,"(2099.999, 3680.0]",2026-03-02 11:00:00
36,8000,2026-03-02 12:02:00,9,83,14,70,11,89,5,21,39,263,302,2.5,24.0,39,263,302,0,0,0,"(5255.0, 8000.0]",2026-03-02 12:00:00
37,4600,2026-03-02 12:28:00,5,48,9,40,6,52,3,15,23,155,178,1.3,26.0,23,155,178,0,0,0,"(3680.0, 5255.0]",2026-03-02 12:00:00
38,6300,2026-03-02 12:52:00,7,66,12,55,9,71,4,18,32,210,242,1.85,24.0,32,210,242,0,0,0,"(5255.0, 8000.0]",2026-03-02 12:00:00
39,3800,2026-03-02 13:16:00,4,40,7,33,5,43,2,13,18,129,147,1.0,24.0,18,129,147,0,0,0,"(3680.0, 5255.0]",2026-03-02 13:00:00
40,8900,2026-03-02 13:40:00,10,93,15,78,13,100,5,23,43,294,337,2.95,24.0,43,294,337,0,0,0,"(8000.0, 9600.0]",2026-03-02 13:00:00
41,5600,2026-03-02 14:05:00,6,58,11,49,8,63,3,16,28,186,214,1.65,25.0,28,186,214,0,0,0,"(5255.0, 8000.0]",2026-03-02 14:00:00
42,2500,2026-03-02 14:28:00,2,26,4,22,3,28,1,10,10,86,96,0.75,23.0,10,86,96,0,0,0,"(2099.999, 3680.0]",2026-03-02 14:00:00
43,7200,2026-03-02 14:52:00,8,75,12,63,9,80,4,19,33,237,270,2.15,24.0,33,237,270,0,0,0,"(5255.0, 8000.0]",2026-03-02 14:00:00
44,4000,2026-03-02 15:15:00,4,42,8,35,5,45,2,13,19,135,154,1.1,23.0,19,135,154,0,0,0,"(3680.0, 5255.0]",2026-03-02 15:00:00
45,9600,2026-03-02 15:40:00,12,101,18,86,15,109,7,25,52,321,373,3.35,25.0,52,321,373,0,0,0,"(8000.0, 9600.0]",2026-03-02 15:00:00
46,3000,2026-03-02 16:05:00,3,31,5,26,4,34,1,11,13,102,115,0.9,25.0,13,102,115,0,0,0,"(2099.999, 3680.0]",2026-03-02 16:00:00
47,6500,2026-03-02 16:30:00,8,68,12,57,9,73,4,18,33,216,249,1.95,25.0,33,216,249,0,0,0,"(5255.0, 8000.0]",2026-03-02 16:00:00
48,4800,2026-03-02 16:55:00,5,50,9,42,6,54,3,15,23,161,184,1.35,25.0,23,161,184,0,0,0,"(3680.0, 5255.0]",2026-03-02 16:00:00
49,8400,2026-03-02 17:20:00,10,88,14,74,12,95,5,22,41,279,320,2.7,25.0,41,279,320,0,0,0,"(8000.0, 9600.0]",2026-03-02 17:00:00
50,2100,2026-03-02 17:45:00,2,22,4,18,2,24,1,10,9,74,83,0.6,25.0,9,74,83,0,0,0,"(2099.999, 3680.0]",2026-03-02 17:00:00
51,7000,2026-03-03 08:00:00,8,73,12,61,9,78,4,18,33,230,263,2.05,855.0,33,230,263,0,0,0,"(5255.0, 8000.0]",2026-03-03 08:00:00
52,3500,2026-03-03 08:24:00,3,37,7,31,4,40,2,13,16,121,137,1.0,24.0,16,121,137,0,0,0,"(2099.999, 3680.0]",2026-03-03 08:00:00
53,9000,2026-03-03 08:49:00,11,94,16,79,14,101,6,23,47,297,344,3.0,25.0,47,297,344,0,0,0,"(8000.0, 9600.0]",2026-03-03 08:00:00
54,5300,2026-03-03 09:14:00,6,55,10,46,7,60,3,16,26,177,203,1.55,25.0,26,177,203,0,0,0,"(5255.0, 8000.0]",2026-03-03 09:00:00
